e0_domain,scientific_quantity,required_for,minimum_requirement,preferred_requirement,current_source,evidence_class,observed_vs_inferred,measurement_error_status,spatial_resolution,temporal_resolution,coverage,vintage,access_status,blocking_for_M0S,blocking_for_M1L,blocking_for_planning,workaround,workaround_claim_limit,priority,long_lead_time,current_status,confidence,notes
E0.1,679 assessment-unit polygons,M0S; M1L; M_GW; AP2/AP10; unit eligibility,Versioned polygons for the GWRA 2024 679-unit vintage with declared CRS,Same plus lineage/effective dates and topology QA,CGWB_AP_GWRA_2024 PDF reports 679 units; no machine-readable geometry located (AP_SPATIAL_UNIT_SCORECARD.csv PRELIMINARY_PREFERRED_NOT_SELECTED),REFERENCE_MODEL,INFERRED,NOT_APPLICABLE,assessment unit / mandal,static/versioned,statewide in PDF; zero polygons in-hand,GWRA 2024 / base year 2023-24,ACCESS_REQUIRED,true,true,true,none; do not silent name-match,no geographic planning claim without polygons,1,true,NOT_OBTAINED,high,AP_EXACT_MISSING_DATA.csv priority 1; AP_SPATIAL_UNIT_STATUS=UNRESOLVED
E0.1,assessment-unit stable IDs,"join keys for heads, forcing, M_GW, eligibility",Stable ID per 679 unit matching GWRA tables,ID aliases and vintage map to prior assessments,PDF counts only; no ID list exported,REFERENCE_MODEL,INFERRED,NOT_APPLICABLE,assessment unit,static/versioned,none machine-readable,GWRA 2024,ACCESS_REQUIRED,true,true,true,none,no unit-level claim,1,true,NOT_OBTAINED,high,679 vs 667 revenue-mandal conflict makes name keys unsafe
E0.1,assessment vintage,version control of polygons/IDs/stage,Effective date and assessment year on the 679-unit geometry,Full vintage history of unit splits/merges,GWRA 2024 PDF: base year 2023-24,REFERENCE_MODEL,INFERRED,NOT_APPLICABLE,state assessment,annual assessment vintage,statewide vintage known; not attached to geometry,2023-24 base year,PARTIAL_PUBLIC_PDF,true,true,true,use PDF vintage only after geometry arrives,vintage without polygons is not a spatial unit,1,false,PARTIAL,high,Year known from CGWB_AP_GWRA_2024; geometry vintage still missing
E0.1,679 vs 667 revenue-mandal reconciliation,administrative crosswalk; prevent false unit identity,Authoritative explanation and map of 679 assessment units vs 667 revenue mandals,Versioned many-to-one/one-to-one table with effective dates,GWRA reports 679; yearbook reports 667 (SPATIAL_UNIT_DECISION.md),REFERENCE_MODEL,INFERRED,NOT_APPLICABLE,unit vs revenue mandal,assessment vs yearbook vintage,conflict documented; crosswalk absent,2024 GWRA vs 2024-25 yearbook,ACCESS_REQUIRED,true,true,true,do not treat numerical proximity as identity,no mandal-name join to GWRA stage,1,true,INADEQUATE,high,Conflict is documented; reconciliation is not
E0.1,748 microbasin polygons,hydrologic crosswalk; not primary planning unit,Versioned 748 microbasin polygons and IDs,Plus mapping to 679 assessment units,GWRA PDF count 748; geometry not located,REFERENCE_MODEL,INFERRED,NOT_APPLICABLE,microbasin,static/versioned,count only,GWRA 2024,ACCESS_REQUIRED,false,false,false,defer; assessment unit remains preliminary preferred,cannot claim microbasin hydrology,2,true,NOT_OBTAINED,high,KEEP_AS_HYDROLOGIC_CROSSWALK on scorecard; not fatal if 679 units arrive
E0.1,unit-microbasin-village-mandal-district crosswalk,AP10 common support; agriculture/municipal overlay,Unit to village/mandal/district IDs with effective dates,"Plus 748 microbasins and 17,467 villages cited in GWRA",Described in GWRA/yearbook prose; no table,REFERENCE_MODEL,INFERRED,NOT_APPLICABLE,nested admin/hydro,versioned,none machine-readable,GWRA 2024 / yearbook 2024-25,ACCESS_REQUIRED,false,false,true,none for impact claims,no community-impact overlay,2,true,NOT_OBTAINED,high,Fatal for impact claims; not fatal for pumped-node study if unit polygons exist
E0.2,monitoring-station stable ID,head panel; E0.2 ADEQUATE; M1L,Stable source station ID on every head row,ID plus aliases and agency codes,NWDP_CGWB_GWL_QUARTERLY CSVs: Station name only; raw_stable_station_id_present=false,OBSERVED,OBSERVED,UNDOCUMENTED,station,not applicable,2584 name-keys lower bound; 2746 station-location series upper bound; 160 names with multiple coords,downloaded AP resources through 2023-08-20,PUBLIC_DOWNLOADED_INCOMPLETE,false,true,false,do not invent IDs from names,name-keyed series are not a validated panel,1,true,INADEQUATE,high,AP_GROUNDWATER_COVERAGE_STATUS.json
E0.2,station coordinates and horizontal datum,spatial join to units; coupling distances,Verified lat/lon with declared horizontal datum for active stations,Surveyed coordinates; correction of out-of-envelope and missing rows,CSV Latitude/Longitude present on many rows; 998 missing coords; 14714 outside published AP envelope; 121 Khammam-labeled excluded from current-AP screen,OBSERVED,OBSERVED,UNDOCUMENTED,point,not applicable,71384 spatial-QA-usable of 87217 numeric rows (81.96%),1996-01-05 to 2023-08-20 usable,PUBLIC_DOWNLOADED_PARTIAL,false,true,true,retain raw rows; do not interpolate coordinates,envelope screen is not a state-polygon join,1,true,PARTIAL,high,Coordinate plausibility filter only
E0.2,well type,interpret dug well vs piezometer; network comparison,Dug well / piezometer / other on station master,Construction details,Yearbook aggregates 676 dug + 797 piezometers; CSV has no well-type field,REPORTED_MEASURED,INFERRED,UNDOCUMENTED,station,network snapshot,network totals only; not row-level,yearbook March 2024/2025 date conflict for 1473 total,PUBLIC_PDF_AGGREGATE,false,true,false,none at series level,cannot assign type to public CSV rows,1,true,INADEQUATE,high,official_count_date_discrepancy retained
E0.2,aquifer / layer,vertical identity; coupling; unit eligibility,Authoritative aquifer/layer ID for each monitoring well,NAQUIM layer join; never infer from depth thresholds,CSV: raw_screen_layer_fields_present=false; NAQUIM GIS not confirmed,REFERENCE_MODEL,INFERRED,NOT_APPLICABLE,station / aquifer,reference characterization,none on public GWL CSVs,NAQUIM program from 2012; reports not downloaded,ACCESS_REQUIRED,false,true,false,none,heads without aquifer are not a local-response panel,1,true,NOT_OBTAINED,high,CGWB_NAQUIM_AP registry: GIS not confirmed
